name,licenseNo,type,state,status
Anna Nagar Medicals,DL/TN/4401,RETAILER,TN,ACTIVE
Guindy Pharmacy,DL/TN/4402,RETAILER,TN,ACTIVE
Velachery Chemist,DL/TN/4403,RETAILER,TN,SUSPENDED
Chennai Meds,DL/TN/210,WHOLESALER,TN,ACTIVE
Coimbatore Drug House,DL/TN/311,WHOLESALER,TN,ACTIVE
Madurai Medico,DL/TN/4407,RETAILER,TN,EXPIRED
Trichy Pharma Depot,DL/TN/415,WHOLESALER,TN,ACTIVE
Salem City Chemist,DL/TN/4412,RETAILER,TN,ACTIVE
Erode Wholesale Drugs,DL/TN/520,WHOLESALER,TN,SUSPENDED
Tirunelveli Medicals,DL/TN/4418,RETAILER,TN,ACTIVE
